bug_id,gt_defect_method,fn_category,source_count,source_lines,log_occurrences,log_src_occurrences,log_no_sink_occurrences,log_pruned_occurrences,transfer_event_count,note
119,splitLog,no_source_extracted,0,,0,0,0,0,0,
164,getEngine,no_source_extracted,0,,0,0,0,0,0,
243,afterCommand,no_source_extracted,0,,0,0,0,0,0,
247,waitForProcessToComplete,no_source_extracted,0,,0,0,0,0,0,
256,readFileFromSDCard,no_source_extracted,0,,0,0,0,0,0,
280,getDrawable,has_source_but_not_reported,1,227,1,0,0,0,0,likely_path_validator_or_path_search_drop
285,HDRTexture,no_source_extracted,0,,0,0,0,0,0,
295,extractEntry,has_source_but_not_reported,8,43|144|188|189|201|224|246|247,13,2,2,0,0,no_sink_branch_seen_in_log
315,run,has_source_but_not_reported,2,96,1,0,0,0,0,likely_path_validator_or_path_search_drop
334,getBodyAsMessge,no_source_extracted,0,,0,0,0,0,0,
348,getDefaultKeyManager,has_source_but_not_reported,2,574,8,3,2,1,0,no_sink_branch_seen_in_log|has_path_pruning
410,closeShardInjector,no_source_extracted,0,,0,0,0,0,0,
460,validate,has_source_but_not_reported,2,73|82,12,4,4,0,0,no_sink_branch_seen_in_log
463,parsedTemplateForResource,no_source_extracted,0,,0,0,0,0,0,
572,runElevated,has_source_but_not_reported,1,309,1,0,0,0,0,likely_path_validator_or_path_search_drop
635,build,no_source_extracted,0,,0,0,0,0,0,
670,doServeResource,no_source_extracted,0,,0,0,0,0,0,
791,SettingsPersistence,no_source_extracted,0,,0,0,0,0,0,
895,importKFF,no_source_extracted,0,,0,0,0,0,0,
947,getWordsFromFile,no_source_extracted,0,,0,0,0,0,0,
1106,createExcludeFile,no_source_extracted,0,,0,0,0,0,0,
1209,HikariConfig,no_source_extracted,0,,0,0,0,0,0,
1274,loadBytes,no_source_extracted,0,,0,0,0,0,0,
1436,executeIdempotentImport,no_source_extracted,0,,0,0,0,0,0,
1441,PropsUtil,no_source_extracted,0,,0,0,0,0,0,
1494,call,no_source_extracted,0,,0,0,0,0,0,
1517,createTarGzOfDirectory,has_source_but_not_reported,8,80|81|82|83|130|167|192|212,8,0,0,0,0,likely_path_validator_or_path_search_drop
